ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
4644,Built-up  Area,Ready To Move,Basavanapura,2 Bedroom,Unknown,1200,3.0,0.0,85.0,13.6
4645,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,NCold G,1080,2.0,2.0,73.0,8.7
4646,Plot  Area,Ready To Move,Madanayakahalli,2 Bedroom,Unknown,1200,2.0,1.0,34.0,17.3
4647,Super built-up  Area,18-May,Akshaya Nagar,2 BHK,Suiumy ,1092,2.0,1.0,60.0,13.8
4648,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Prensin,1932,4.0,3.0,135.0,16.6
4649,Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,1156,2.0,1.0,72.0,11.9
4650,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Unknown,924,2.0,2.0,35.11,12.9
4651,Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Kenia G,1330,2.0,1.0,75.0,13.5
4652,Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhmesy ,1917,4.0,2.0,113.0,11.5
4653,Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,985,2.0,1.0,25.12,24.0
4654,Plot  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,Unknown,2400,6.0,2.0,408.0,11.4
4655,Plot  Area,Ready To Move,Richmond Town,4 Bedroom,Unknown,1800,5.0,2.0,500.0,2.4
4656,Plot  Area,Ready To Move,Mahalakshmi Puram,2 Bedroom,Unknown,1290,1.0,0.0,225.0,11.4
4657,Super built-up  Area,19-Jun,Kodigehalli,1 BHK,Unknown,655,1.0,1.0,53.0,15.8
4658,Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,Unknown,1800,3.0,3.0,140.0,8.9
4659,Built-up  Area,Ready To Move,Margondanahalli,4 Bedroom,Unknown,1360,2.0,2.0,45.0,13.7
4660,Super built-up  Area,Ready To Move,Bellandur,3 BHK,Krala D,1785,3.0,3.0,118.0,12.9
4661,Super built-up  Area,Ready To Move,Kadugodi,7 BHK,Unknown,4000,7.0,2.0,130.0,18.7
4662,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3.0,2.0,120.0,11.1
4663,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Sklls C,1235,2.0,2.0,63.0,15.2
4664,Plot  Area,Ready To Move,Anandapura,2 Bedroom,Unknown,900,2.0,0.0,48.0,12.4
4665,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Pronyt ,662,1.0,1.0,42.0,11.5
4666,Plot  Area,Ready To Move,TC Palaya,5 Bedroom,Unknown,1440,5.0,1.0,100.0,12.2
4667,Super built-up  Area,18-Dec,Whitefield,2 BHK,Suhamra,1215,2.0,1.0,62.0,17.3
4668,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,37.0,38.4
4669,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,1525,2.0,2.0,87.0,17.2
4670,Built-up  Area,Ready To Move,Jaladarsini Layout,2 BHK,DiaveEn,1000,2.0,2.0,48.0,17.3
4671,Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,90.0,11.1
4672,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,PrntaEn,1560,3.0,2.0,120.0,28.6
4673,Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,Unknown,2100,3.0,3.0,110.0,15.0
4674,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1620,2.0,2.0,85.0,11.3
4675,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PuilaMi,1595,3.0,2.0,90.0,10.9
4676,Super built-up  Area,18-May,Basavanapura,2 BHK,Unknown,1095,2.0,2.0,38.52,13.6
4677,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,835,2.0,0.0,37.0,15.8
4678,Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,2182,3.0,2.0,72.04,14.4
4679,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Unknown,1418,2.0,2.0,106.0,15.0
4680,Super built-up  Area,18-Apr,Sanjay nagar,3 BHK,Unknown,1900,2.0,2.0,180.0,10.6
4681,Super built-up  Area,20-Sep,Whitefield,3 BHK,Goted U,2700,5.0,2.0,175.0,17.3
4682,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Rencyes,1070,2.0,1.0,48.0,10.0
4683,Plot  Area,Ready To Move,Ramamurthy Nagar,9 Bedroom,Unknown,2000,9.0,2.0,150.0,11.7
4684,Plot  Area,Ready To Move,Munnekollal,43 Bedroom,Unknown,2400,40.0,0.0,660.0,12.4
4685,Super built-up  Area,18-Dec,Electronics City Phase 1,1 BHK,Shitt S,755,1.0,1.0,42.41,20.3
4686,Super built-up  Area,19-Mar,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0,11.1
4687,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Unknown,2400,3.0,2.0,190.0,17.2
4688,Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,24.0
4689,Built-up  Area,19-Mar,4th T block Jayanagar,4 BHK,Unknown,3900,4.0,1.5817572892040976,333.0,8.7
4690,Plot  Area,Ready To Move,Attur Layout,3 Bedroom,Unknown,2400,4.0,2.0,200.0,21.8
4691,Plot  Area,Ready To Move,1st Block HRBR Layout,10 Bedroom,Unknown,2416,10.0,1.5817572892040976,600.0,8.5
4692,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,SNavenc,919,2.0,0.0,28.0,20.3
4693,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Hiate F,1725,3.0,1.5817572892040976,110.0,18.8
4694,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,71.32,17.2
4695,Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1070,2.0,2.0,45.0,19.3
4696,Super built-up  Area,Ready To Move,Begur Road,2 BHK,SLtalry,1225,2.0,1.0,35.52,10.8
4697,Plot  Area,Ready To Move,Sarakki Nagar,6 Bedroom,Unknown,880,6.0,2.0,75.0,9.8
4698,Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,640,1.0,1.0,20.5,20.4
4699,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1310,2.0,1.0,52.4,12.1
4700,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,Unknown,1190,2.0,2.0,39.0,47.7
4701,Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,87.5,13.9
4702,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,89.0,10.9
4703,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,68.8,17.5
4704,Super built-up  Area,18-Apr,Electronic City,3 BHK,Sie 2is,1105,2.0,1.0,35.0,18.1
4705,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,41.0,26.5
4706,Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,Unknown,1650,4.0,3.0,320.0,8.1
4707,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Unknown,1100,2.0,1.0,41.15,11.9
4708,Built-up  Area,Ready To Move,Thanisandra,4 Bedroom,Unknown,2100,4.0,1.0,95.0,11.5
4709,Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1948,3.0,2.0,130.0,11.5
4710,Super built-up  Area,Ready To Move,Singasandra,3 BHK,Unknown,1464,3.0,2.0,56.0,12.8
4711,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Unknown,1210,2.0,2.0,45.0,15.3
4712,Built-up  Area,Ready To Move,Yelahanka,5 Bedroom,Unknown,4000,5.0,2.0,220.0,20.8
4713,Super built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,1252,2.0,2.0,55.0,16.6
4714,Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,Unknown,1200,4.0,3.0,240.0,17.0
4715,Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,Maana E,3905,7.0,1.5817572892040976,290.0,17.2
4716,Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,Goourta,2600,3.0,2.0,140.0,13.8
4717,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Axdam V,1300,3.0,2.0,89.13,11.0
4718,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1130,2.0,2.0,73.0,11.0
4719,Plot  Area,Ready To Move,Budigere,4 Bedroom,Unknown,1200,3.0,0.0,135.0,30.9
4720,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1690,3.0,2.0,125.0,11.5
4721,Built-up  Area,Ready To Move,Padmanabhanagar,3 Bedroom,Unknown,4500,4.0,2.0,360.0,11.3
4722,Super built-up  Area,Ready To Move,Tasker Town,2 BHK,Unknown,950,2.0,1.0,60.0,17.3
4723,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1020,2.0,1.0,57.0,10.9
4724,Built-up  Area,19-Dec,"Hoodi Circle, ",4 BHK,Unknown,2107,4.0,3.0,95.0,13.5
4725,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1735,3.0,2.0,72.0,10.9
4726,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,915,2.0,2.0,37.0,17.2
4727,Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1450,3.0,3.0,68.0,22.5
4728,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,156.0,15.0
4729,Super built-up  Area,Ready To Move,Raghavendra Nagar,3 BHK,Keony H,2431,3.0,1.0,100.0,17.3
4730,Super built-up  Area,18-Aug,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0,14.4
4731,Super built-up  Area,18-Apr,Marathahalli,2 BHK,PuilaMi,1600,3.0,2.0,88.0,10.9
4732,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Revane ,1280,2.0,2.0,75.0,12.9
4733,Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,3.0,2.0,77.68,11.1
4734,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,150.0,8.3
4735,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,69.0,13.3
4736,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1240,2.0,1.0,53.27,15.3
4737,Plot  Area,Ready To Move,Milk Colony,4 Bedroom,Unknown,1200,4.0,2.0,240.0,17.3
4738,Plot  Area,Ready To Move,Bannerghatta Road,6 Bedroom,Upoutks,1850,6.0,3.0,150.0,18.8
4739,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2.0,3.0,66.0,15.0
4740,Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Unknown,870,2.0,2.0,36.0,21.6
4741,Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soubya ,1789,3.0,2.0,98.0,20.9
4742,Plot  Area,Ready To Move,Basaveshwara Nagar,6 Bedroom,Unknown,800,6.0,2.0,110.0,10.9
4743,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,18.0,18.1
4744,Plot  Area,Ready To Move,"Basnashankari,6th stage,",3 Bedroom,Unknown,600,3.0,1.0,54.0,17.3
4745,Super built-up  Area,Ready To Move,Coffee Board Layout,2 BHK,Tepleee,1155,2.0,3.0,56.0,17.3
4746,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Siilka ,1235,2.0,2.0,65.0,9.7
4747,Plot  Area,Ready To Move,Yelahanka,4 Bedroom,Edreelm,2675,4.0,2.0,140.0,20.8
4748,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Madener,1025,2.0,2.0,50.0,7.2
4749,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,AcisePa,1395,2.0,2.0,72.0,15.3
4750,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4,13.0
4751,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,Brity U,1252,2.0,1.0,71.0,11.9
4752,Super built-up  Area,18-Aug,Hennur Road,2 BHK,DSeldpr,1081,2.0,1.0,30.27,14.4
4753,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3.0,1.0,130.0,14.9
4754,Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2062,3.0,1.5817572892040976,150.0,23.1
4755,Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,2.0,56.0,16.8
4756,Built-up  Area,Ready To Move,Jigani,3 Bedroom,Unknown,1408,2.0,0.0,55.0,27.7
4757,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2.0,1.0,60.0,38.4
4758,Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,715,1.0,2.0,29.0,17.2
4759,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Jauraht,1230,2.0,3.0,94.5,17.2
4760,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Gincyi ,1035,2.0,2.0,45.5,8.9
4761,Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,3360,5.0,0.0,225.0,14.6
4762,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3.0,2.0,77.99,9.6
4763,Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,PrarePa,1100,3.0,1.0,52.97,26.5
4764,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216,2.0,1.0,84.0,17.3
4765,Super built-up  Area,18-Aug,Shirdi Sai Layout,2 BHK,Unknown,1450,2.0,3.0,62.63,17.3
4766,Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705,1.0,1.0,57.0,7.0
4767,Super built-up  Area,Ready To Move,Gottigere,3 BHK,JaghtDe,1385,3.0,2.0,64.0,15.2
4768,Plot  Area,18-May,Anekal,2 Bedroom,Unknown,1200,2.0,1.0,36.1,34.2
4769,Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1310,2.0,1.0,32.75,19.3
4770,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Amionce,1043,2.0,1.0,39.5,17.2
4771,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Saace P,1320,2.0,2.0,110.0,8.3
4772,Super built-up  Area,Ready To Move,Near ullas theater,3 BHK,Unknown,1900,3.0,2.0,205.0,17.3
4773,Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1140,2.0,2.0,39.9,17.4
4774,Built-up  Area,Ready To Move,Kadugodi,2 BHK,K tlete,1100,2.0,1.0,45.0,18.7
4775,Super built-up  Area,18-Sep,Hebbal,3 BHK,Arcia S,1586,3.0,2.0,90.0,11.1
4776,Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,975,2.0,1.0,24.86,24.0
4777,Built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1365,3.0,2.0,60.0,12.9
4778,Super built-up  Area,18-Dec,Rajaji Nagar,2 BHK,ProdsWe,1263,2.0,0.0,107.0,9.6
4779,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,59.76,10.8
4780,Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,1163,3.0,2.0,180.0,20.1
4781,Super built-up  Area,19-Sep,Whitefield,4 BHK,Prtates,2882,5.0,1.0,204.0,17.3
4782,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2320,3.0,2.0,170.0,14.4
4783,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Soisy D,1750,3.0,3.0,99.0,17.2
4784,Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1143,2.0,1.0,55.0,13.4
4785,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1936,3.0,1.0,118.0,14.4
4786,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,15.0,18.1
4787,Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,700,1.0,1.0,19.0,24.0
4788,Super built-up  Area,Ready To Move,Chikkakannalli,3 BHK,Unknown,1402,2.0,2.0,85.0,17.3
4789,Built-up  Area,Ready To Move,Hebbal,4 BHK,Emceske,4640,4.0,2.0,600.0,11.1
4790,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,1000,2.0,2.0,41.0,18.1
4791,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srncyla,1000,2.0,1.0,35.0,15.2
4792,Super built-up  Area,20-Dec,Kengeri Satellite Town,2 BHK,DSestSt,818,2.0,1.0,26.0,16.9
4793,Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1680,3.0,0.0,135.0,9.6
4794,Super built-up  Area,Ready To Move,Kalyan nagar,4 BHK,Satle C,2422,3.0,2.0,150.0,8.7
4795,Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Gonorir,1145,2.0,2.0,100.0,3.7
4796,Super built-up  Area,18-Aug,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35,24.0
4797,Super built-up  Area,20-Aug,Sarjapur  Road,2 BHK,Ahciace,1145,2.0,1.0,62.0,17.2
4798,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,Unknown,1575,3.0,3.0,68.0,12.0
4799,Plot  Area,Ready To Move,Bannerghatta Road,3 Bedroom,Unknown,9000,4.0,1.0,390.0,18.8
4800,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Unknown,1200,2.0,2.0,46.0,11.5
4801,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Unknown,1500,2.0,2.0,63.0,20.8
4802,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,Unknown,2560,4.0,2.0,75.0,11.7
4803,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Unknown,1583,3.0,3.0,76.1,11.8
4804,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,34.98,26.5
4805,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,950,2.0,0.0,38.0,18.8
4806,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Unknown,1041,2.0,1.0,36.44,11.2
4807,Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Adity S,1085,2.0,1.0,70.0,13.5
4808,Super built-up  Area,18-Aug,Anjanapura,2 BHK,Unknown,1070,2.0,2.0,37.0,18.2
4809,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,MaaveDu,1165,2.0,1.0,45.0,15.3
4810,Built-up  Area,Ready To Move,Bommasandra,2 BHK,RKhipwn,1000,2.0,1.0,35.0,21.7
4811,Super built-up  Area,19-Dec,Horamavu Agara,2 BHK,Prhar G,1169,2.0,1.0,64.0,12.2
4812,Built-up  Area,Ready To Move,A Narayanapura,4 Bedroom,Unknown,1150,4.0,1.0,110.0,8.1
4813,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1840,3.0,2.0,140.0,17.3
4814,Built-up  Area,Ready To Move,Bhuvaneswari Nagar,3 BHK,RRersow,1550,3.0,1.0,75.0,17.3
4815,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Unknown,997,2.0,3.0,53.0,8.9
4816,Built-up  Area,18-Mar,Gunjur,2 BHK,Paestol,1457,2.0,3.0,60.0,18.5
4817,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,Unknown,1000,2.0,1.0,60.0,13.2
4818,Plot  Area,Ready To Move,KR Puram,2 Bedroom,Unknown,1000,2.0,0.0,60.0,11.9
4819,Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Pelle P,1500,3.0,2.0,88.0,17.2
4820,Plot  Area,Ready To Move,Cottonpet,5 Bedroom,Unknown,958,3.0,1.0,210.0,8.6
4821,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1165,2.0,2.0,75.0,13.3
4822,Plot  Area,Ready To Move,Upkar Layout,7 Bedroom,Unknown,1200,7.0,3.0,169.0,17.2
4823,Super built-up  Area,19-Jan,Kasavanhalli,3 BHK,Unknown,1787,3.0,2.0,123.0,15.0
4824,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Unknown,1288,2.0,1.0,70.0,15.3
4825,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,54.11,11.5
4826,Super built-up  Area,18-Mar,Hulimavu,3 BHK,Vapasrk,3035,5.0,1.5817572892040976,271.0,15.0
4827,Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,Unknown,750,1.0,1.0,25.5,19.6
4828,Plot  Area,Ready To Move,Yelachenahalli,4 Bedroom,BaiseBa,900,2.0,1.0,115.0,11.5
4829,Plot  Area,18-Jun,Channasandra,3 Bedroom,Unknown,1200,3.0,1.0,67.77,19.6
4830,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,78.0,18.1
4831,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Unknown,1230,2.0,2.0,66.25,13.7
4832,Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Asintas,780,1.0,1.0,55.0,10.9
4833,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrliaRe,1220,2.0,1.0,80.0,18.8
4834,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shine S,1110,2.0,2.0,43.0,26.5
4835,Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,3 BHK,Unknown,2100,3.0,2.0,240.0,17.3
4836,Plot  Area,Ready To Move,Hosakerehalli,9 Bedroom,Unknown,1380,9.0,0.0,150.0,13.4
4837,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Unknown,1690,3.0,2.0,85.0,13.8
4838,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrarePa,1130,2.0,2.0,78.0,18.8
4839,Super built-up  Area,20-Dec,Electronic City,2 BHK,KonteiT,1213,2.0,1.0,59.32,18.1
4840,Super built-up  Area,Ready To Move,Kengeri,2 BHK,BDlexHo,900,2.0,2.0,45.0,22.5
4841,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1199,2.0,1.0,85.0,14.2
4842,Plot  Area,Ready To Move,Nandi Hills,4 Bedroom,Unknown,5000,4.0,2.0,290.0,17.3
4843,Super built-up  Area,18-Mar,Bhoganhalli,4 BHK,Rosha I,1974 - 2171,2.0,1.5817572892040976,111.0,15.3
4844,Plot  Area,Ready To Move,Bellandur,7 Bedroom,Unknown,700,8.0,0.0,100.0,12.9
4845,Super built-up  Area,20-Dec,Uttarahalli,1 BHK,PrdgeLa,661,1.0,1.0,36.0,12.9
4846,Super built-up  Area,19-Dec,Thanisandra main road,2 BHK,Unknown,1804,2.0,1.0,285.0,13.5
4847,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3.0,2.0,100.0,10.9
4848,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,1030,2.0,2.0,50.0,16.9
4849,Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,2.0,56.0,16.8
4850,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1530,3.0,2.0,73.5,10.9
4851,Plot  Area,18-Apr,Ramamurthy Nagar,2 Bedroom,Unknown,1200,2.0,1.0,78.0,11.7
4852,Super built-up  Area,Ready To Move,Rajarajeshwari nagar,3 BHK,Unknown,2000,3.0,2.0,85.0,17.3
4853,Carpet  Area,Ready To Move,Nagarbhavi,1 BHK,Unknown,300,1.0,1.0,20.0,17.0
4854,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,2.0,1.0,115.0,16.9
4855,Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,Sants A,800,1.0,0.0,170.0,9.7
4856,Super built-up  Area,Ready To Move,Panathur,2 BHK,Saarep ,1255,2.0,2.0,79.0,14.2
4857,Super built-up  Area,20-Nov,Whitefield,3 BHK,PritaDo,1778,3.0,2.0,122.0,17.3
4858,Super built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1100,2.0,1.0,45.0,10.3
4859,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Eltert ,1480,2.0,2.0,65.0,14.4
4860,Super built-up  Area,17-Jul,Marathahalli,2 BHK,Prionad,1358,2.0,1.0,81.0,10.9
4861,Built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,PaownNe,580,1.0,1.0,27.0,20.3
4862,Super built-up  Area,18-May,Choodasandra,2 BHK,Emhtsl ,1197,2.0,1.0,63.0,16.8
4863,Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,Unknown,1200,2.0,1.0,170.0,8.5
4864,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1705,3.0,1.0,110.0,21.4
4865,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1310,2.0,1.0,37.83,19.3
4866,Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1132,2.0,0.0,67.9,13.3
4867,Plot  Area,Ready To Move,SMV layout,3 Bedroom,Unknown,1200,3.0,0.0,140.0,17.3
4868,Built-up  Area,Ready To Move,Peenya,2 BHK,Unknown,814,2.0,1.0,55.0,15.5
4869,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1575,3.0,2.0,90.0,18.1
4870,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,MaidoPl,1302,2.0,1.0,66.0,16.0
4871,Plot  Area,Ready To Move,Sultan Palaya,6 Bedroom,Unknown,1800,8.0,1.0,175.0,8.4
4872,Super built-up  Area,18-Jan,Hegde Nagar,3 BHK,SoisoCa,2006.8,4.0,2.0,196.0,13.7
4873,Built-up  Area,Ready To Move,Saptagiri Layout,2 BHK,Unknown,1100,2.0,2.0,44.0,17.3
4874,Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,Unknown,2400,5.0,2.0,400.0,11.7
4875,Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,Unknown,830,2.0,2.0,37.0,16.9
4876,Built-up  Area,Ready To Move, Electronic City,1 RK,GMown E,435,1.0,1.0,19.5,17.3
4877,Super built-up  Area,Ready To Move,Mathikere,3 BHK,Dovel M,1590,3.0,0.0,120.0,11.2
4878,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,33.06,19.3
4879,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1090,2.0,2.0,59.8,15.0
4880,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1922,3.0,3.0,106.0,11.5
4881,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965,2.0,1.0,67.0,11.5
4882,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Unknown,883,2.0,1.0,40.95,28.6
4883,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1062,2.0,1.0,42.47,14.5
4884,Super built-up  Area,18-Oct,Electronic City Phase II,2 BHK,SRhtsa ,888 - 1290,2.0,0.0,32.67,19.3
